value,evcs
1674.089,0
1815.3204,0
1668.1023,0
1598.9004,0
1418.0448,0
1903.3741,0
1624.5111,0
1884.4081,0
2686.1877,0
3463.676,0
1298.3452,0
441.78635,0
562.21027,0
1034.9138,0
631.0918,0
1912.0074,0
3082.013,0
0.22345702,0
0.0020687594,0
6.7121363,0
19.20418,0
144.92268,0
189.5906,0
13.290318,0
115.20935,0
550.61176,0
1290.1929,0
2214.8857,0
1781.9247,0
2067.3188,0
2117.9094,0
4946.7,0
5037.787,0
1124.8057,0
1004.13715,0
1210.6393,0
851.0498,0
2201.9229,0
2791.7312,0
635.14154,0
770.6437,0
548.1377,0
809.07666,0
401.64978,0
934.11566,0
14.36756,0
1436.4177,0
493.83514,0
2004.2224,0
926.07385,0
649.3553,0
909.5987,0
829.44446,0
1313.7886,0
791.95636,0
557.15454,0
58.90316,0
632.8436,0
347.53647,0
426.6017,0
1083.7394,0
1066.2828,0
1524.4979,0
